SITE,SITECODE,TREAT,HEIGHT
STEESE,25_3,3,26
STEESE,25_3,3,18
STEESE,25_3,3,35
STEESE,25_3,3,15
STEESE,25_3,3,1
STEESE,25_3,3,51
STEESE,25_3,3,17
STEESE,25_3,3,13
STEESE,25_3,3,36
STEESE,25_3,3,25
STEESE,25_3,3,0
STEESE,25_3,3,3
STEESE,35_3,3,12
STEESE,35_3,3,2
